trackId,event,seq,startUs,startSec,ptsMs,durationMs,extra
2,mdat,2,63473,0.8126598639455781,,22546.57596371849,482
2,moof,2,63955,0.063955,,,frames=971
2,mdat,2,63955,0.8126598639455781,,22546.57596371849,482
2,moof,2,64437,0.064437,,,frames=971
2,mdat,2,64437,0.8126598639455781,,22546.57596371849,484
2,moof,2,64921,0.064921,,,frames=971
2,mdat,2,64921,0.8126598639455781,,22546.57596371849,493
2,moof,2,65414,0.065414,,,frames=971
2,mdat,2,65414,0.8126598639455781,,22546.57596371849,488
2,moof,2,65902,0.065902,,,frames=971
2,mdat,2,65902,0.8126598639455781,,22546.57596371849,476
2,moof,2,66378,0.066378,,,frames=971
2,mdat,2,66378,0.8126598639455781,,22546.57596371849,474
2,moof,2,66852,0.066852,,,frames=971
2,mdat,2,66852,0.8126598639455781,,22546.57596371849,472
2,moof,2,67324,0.067324,,,frames=971
2,mdat,2,67324,0.8126598639455781,,22546.57596371849,480
2,moof,2,67804,0.067804,,,frames=971
2,mdat,2,67804,0.8126598639455781,,22546.57596371849,481
2,moof,2,68285,0.068285,,,frames=971
2,mdat,2,68285,0.8126598639455781,,22546.57596371849,475
2,moof,2,68760,0.06876,,,frames=971
2,mdat,2,68760,0.8126598639455781,,22546.57596371849,480
2,moof,2,69240,0.06924,,,frames=971
2,mdat,2,69240,0.8126598639455781,,22546.57596371849,479
2,moof,2,69719,0.069719,,,frames=971
2,mdat,2,69719,0.8126598639455781,,22546.57596371849,484
2,moof,2,70203,0.070203,,,frames=971
2,mdat,2,70203,0.8126598639455781,,22546.57596371849,476
2,moof,2,70679,0.070679,,,frames=971
2,mdat,2,70679,0.8126598639455781,,22546.57596371849,469
2,moof,2,71148,0.071148,,,frames=971
2,mdat,2,71148,0.8126598639455781,,22546.57596371849,485
2,moof,2,71633,0.071633,,,frames=971
2,mdat,2,71633,0.8126598639455781,,22546.57596371849,486
2,moof,2,72119,0.072119,,,frames=971
2,mdat,2,72119,0.8126598639455781,,22546.57596371849,486
2,moof,2,72605,0.072605,,,frames=971
2,mdat,2,72605,0.8126598639455781,,22546.57596371849,486
2,moof,2,73091,0.073091,,,frames=971
2,mdat,2,73091,0.8126598639455781,,22546.57596371849,470
2,moof,2,73561,0.073561,,,frames=971
2,mdat,2,73561,0.8126598639455781,,22546.57596371849,475
2,moof,2,74036,0.074036,,,frames=971
2,mdat,2,74036,0.8126598639455781,,22546.57596371849,481
2,moof,2,74517,0.074517,,,frames=971
2,mdat,2,74517,0.8126598639455781,,22546.57596371849,467
2,moof,2,74984,0.074984,,,frames=971
2,mdat,2,74984,0.8126598639455781,,22546.57596371849,477
